Gene_Length_Including_N,Sum_of_valid_dinucleotide_counts,A_Count,T_Count,G_Count,C_Count,AA_Count,AA_OE,AA_Rate,AT_Count,AT_OE,AT_Rate,AG_Count,AG_OE,AG_Rate,AC_Count,AC_OE,AC_Rate,TA_Count,TA_OE,TA_Rate,TT_Count,TT_OE,TT_Rate,TG_Count,TG_OE,TG_Rate,TC_Count,TC_OE,TC_Rate,GA_Count,GA_OE,GA_Rate,GT_Count,GT_OE,GT_Rate,GG_Count,GG_OE,GG_Rate,GC_Count,GC_OE,GC_Rate,CA_Count,CA_OE,CA_Rate,CT_Count,CT_OE,CT_Rate,CG_Count,CG_OE,CG_Rate,CC_Count,CC_OE,CC_Rate,A_Rate,T_Rate,G_Rate,C_Rate,Region,Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism Name,Average_lifespan_days,Average_lifespan_days_in_longer_life_cycle,Parthenogenesis,Fission Budding,Highly dormant eggs,Dormant state in other than egg stage,More than one type of life cycles,Eusociality,Eusociality level,Host number
15703284.0,14342719,4799853,4800790,2368417,2389657,1823588,1.137812,0.127144,1445888,0.901974,0.10081,840298,1.062544,0.058587,684116,0.857366,0.047698,1300612,0.811347,0.090681,1824368,1.137855,0.127198,831907,1.051729,0.058002,838512,1.050657,0.058463,829936,1.049442,0.057865,679407,0.858932,0.047369,445966,1.142839,0.031094,410739,1.043211,0.028637,840693,1.053595,0.058615,845726,1.059696,0.058966,247513,0.628643,0.017257,453450,1.141453,0.031615,0.3342814681841003,0.3343467247108498,0.1649462831532928,0.1664255239517569,genome,GCA_001887335.1_A_vulgare_v1,Arthropoda (Mandibulata),Crustacea,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50795114.0,50462114,16882024,17008882,8306830,8276617,6811508,1.206619,0.134983,5266826,0.926029,0.104372,2300991,0.828383,0.045598,2498848,0.902898,0.049519,3913020,0.687999,0.077544,6907569,1.205452,0.136886,3506415,1.252934,0.069486,2677802,0.960342,0.053066,2672346,0.962075,0.052957,2526906,0.90293,0.050075,1189002,0.869937,0.023562,1916499,1.407332,0.037979,3481133,1.257822,0.068985,2303744,0.826193,0.045653,1308271,0.960695,0.025926,1181234,0.870575,0.023408,0.3344673680116315,0.3369806840317497,0.1645752645903158,0.1639766833663029,genome,GCA_001447665.1_T11_ISS1029_r1.0,Nematoda,Enoplea,Rhabditida,Trichinellidae,Trichinella,Trichinella zimbabwensis,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65093147.0,62053303,17323596,17283430,13731621,13734372,6124616,1.267195,0.098699,4453543,0.923588,0.07177,3178186,0.829584,0.051217,3561844,0.929542,0.0574,3010184,0.624261,0.04851,6111239,1.270312,0.098484,4249248,1.111735,0.068477,3907423,1.022098,0.062969,3915134,1.021945,0.063093,3551709,0.929237,0.057236,2986784,0.98356,0.048133,3273618,1.0778,0.052755,4268259,1.113896,0.068784,3161516,0.826985,0.050948,3313040,1.090779,0.05339,2986960,0.983224,0.048135,0.279084154099223,0.2784370774683925,0.2212172248300022,0.2212615436023822,genome,GCA_000341325.1_Pred3,Nematoda,Chromadorea,Rhabditida,Panagrolaimidae,Panagrellus,Panagrellus redivivus,32.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67380660.0,67340729,22288520,22259326,11391487,11408874,8435868,1.143778,0.125271,6925646,0.940246,0.102845,3854775,1.022614,0.057243,3069984,0.813179,0.045589,5385887,0.731203,0.07998,8412009,1.143536,0.124917,3979511,1.057089,0.059095,4479335,1.188045,0.066517,4473538,1.186762,0.066431,3064399,0.814005,0.045506,2041344,1.05957,0.030314,1810798,0.938471,0.02689,3990562,1.057023,0.059259,3854986,1.02245,0.057246,1514702,0.785016,0.022493,2047385,1.059469,0.030403,0.3309445194287058,0.3305110409249648,0.1691431369509213,0.169401302695408,genome,GCA_000715275.1_Gsalaris_v1,Platyhelminthes,Monogenea,Gyrodactylidea,Gyrodactylidae,Gyrodactylus,Gyrodactylus salaris,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
87155713.0,86878144,31060079,31123837,12350181,12344251,13046309,1.174884,0.150168,10231448,0.919505,0.117768,4028470,0.912382,0.046369,3753783,0.850579,0.043207,8281972,0.744304,0.095329,13094243,1.174375,0.15072,5073936,1.146809,0.058403,4673607,1.056834,0.053795,4671191,1.057948,0.053767,3763916,0.850719,0.043324,1711546,0.974888,0.019701,2203500,1.255705,0.025363,5060533,1.146678,0.058249,4034155,0.912236,0.046435,1536207,0.875436,0.017682,1713328,0.97684,0.019721,0.3575123113528816,0.3582461881066154,0.142154878451418,0.1420866220890848,genome,GCA_000002995.5_B_malayi-4.0,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia,Brugia malayi,2677.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
91365832.0,87503538,30311166,30098991,13536237,13572199,12149539,1.157523,0.138846,9941250,0.953809,0.11361,4191873,0.894299,0.047905,4023810,0.856169,0.045985,7764706,0.744981,0.088736,11983018,1.15781,0.136943,5322113,1.143429,0.060822,5022946,1.076295,0.057403,5034716,1.074112,0.057537,3991126,0.857473,0.045611,2126722,1.015991,0.024304,2381489,1.134685,0.027216,5356029,1.139633,0.061209,4178905,0.895438,0.047757,1893552,0.902203,0.02164,2141744,1.017752,0.024476,0.3463397314899704,0.3439153894990062,0.1546669860197592,0.1550778929912641,genome,GCA_000183805.3_Loa_loa_V3.1,Nematoda,Chromadorea,Monhysterida,Onchocercidae,Loa,Loa loa,4675.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
90815494.0,89598067,30350826,30352273,14436212,14460791,12099164,1.176881,0.135038,9429908,0.9172,0.105247,4545794,0.929618,0.050735,4275250,0.872805,0.047716,6541211,0.636231,0.073006,12099929,1.176844,0.135047,6043280,1.235796,0.067449,5667268,1.156935,0.063252,5660667,1.15761,0.063178,4265833,0.872324,0.047611,2312442,0.994221,0.025809,2196893,0.942935,0.024519,6049191,1.234961,0.067515,4555931,0.930063,0.050849,1534321,0.658551,0.017124,2320985,0.994504,0.025904,0.3387365117062031,0.3387526612413901,0.1611182540841303,0.1613925729682763,genome,GCA_000239435.1_ASM23943v1,Arthropoda (Chelicerata),Arachnida,Trombidiformes,Tetranychidae,Tetranychus,Tetranychus urticae,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96340582.0,93265212,33025826,33017356,13609467,13613813,13810503,1.180955,0.148078,11125842,0.95163,0.119293,4273824,0.886856,0.045824,3815246,0.791444,0.040907,8279972,0.708214,0.088779,13798858,1.180565,0.147953,5477100,1.136838,0.058726,5460991,1.133133,0.058553,5453249,1.131597,0.05847,3820437,0.792978,0.040963,1897696,0.955599,0.020347,2437904,1.227233,0.026139,5481679,1.137133,0.058775,4271827,0.886386,0.045803,1960638,0.986979,0.021022,1899446,0.95587,0.020366,0.354101842096251,0.3540110270292015,0.1459202666012998,0.1459668642732475,genome,GCA_000499405.2_ASM49940v2,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Onchocerca,Onchocerca volvulus,3872.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
98759061.0,98466535,34459647,34446367,14802958,14762624,13504524,1.11993,0.137148,12014404,0.996739,0.122015,3966059,0.765655,0.040278,4973017,0.962673,0.050505,9307890,0.772201,0.094528,13497005,1.12017,0.137072,6305233,1.217706,0.064034,5334580,1.033062,0.054177,5354258,1.033649,0.054376,4982254,0.962204,0.050598,2397737,1.077551,0.024351,2067783,0.931807,0.021,6291374,1.21788,0.063894,3951072,0.765141,0.040126,2133050,0.961219,0.021663,2386295,1.078277,0.024235,0.3499450440510784,0.3498101828267311,0.1503271867351474,0.149917586387043,genome,GCA_001014335.1_ASM101433v1,Arthropoda (Mandibulata),Insecta,Diptera,Scatopsidae,Coboldia,Coboldia fuscipes,26.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100532934.0,99669416,35490447,35512676,14404988,14420262,14161238,1.12415,0.142082,11862332,0.941069,0.119017,4889770,0.956335,0.04906,4523019,0.883669,0.04538,9642612,0.764973,0.096746,14174691,1.12381,0.142217,5891919,1.151613,0.059115,5739245,1.120584,0.057583,5728752,1.120422,0.057478,4525427,0.884523,0.045404,1884350,0.907992,0.018906,2246078,1.081147,0.022535,5893335,1.15139,0.059129,4896150,0.95597,0.049124,1718787,0.827336,0.017245,1891711,0.909609,0.01898,0.3555146290924725,0.3557373012580301,0.1442975335278678,0.1444505361216294,genome,GCA_000988905.1_ASM98890v1,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Camisiidae,Platynothrus,Platynothrus peltifer,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
